,CW,TCPH,GDCC,Trần,Sàn,TC,Giá 3,KL 3,Giá 2,KL 2,Giá 1,KL 1,Giá,KL,+/-,+/- (%),Giá 1.1,KL 1.1,Giá 2.1,KL 2.1,Giá 3.1,KL 3.1,Tổng KL,Cao,Thấp,CK,Giá.1,Điểm hoà vốn,ĐHV-Giá TT,Giá TH,Tỉ lệ chuyển đổi,FairValue
47,CSTB2406,SSI,10/10/2024,1650.0,10.0,630.0,590.0,453600.0,600.0,174500.0,610.0,307100.0,630.0,7800.0,0.0,0.0,630.0,446600.0,640.0,455700.0,650.0,454300.0,145300.0,630.0,580.0,STB,29950.0,32.76,2.81,31500.0,2:01,0
48,CSTB2407,SSI,12/12/2024,980.0,10.0,470.0,440.0,454400.0,450.0,248600.0,460.0,454200.0,470.0,400.0,0.0,0.0,470.0,461400.0,480.0,461800.0,490.0,456100.0,21000.0,470.0,450.0,STB,29950.0,34.88,4.93,33000.0,4:01,0
49,CTCB2309,BSC,23/09/2024,4690.0,2570.0,3630.0,3600.0,1600.0,3610.0,2000.0,3650.0,2000.0,3700.0,200.0,70.0,1.93,3700.0,600.0,3710.0,500.0,3720.0,2000.0,27600.0,3700.0,3610.0,TCB,22400.0,22.35,-0.05,16972.0,1.4548:1,0
50,CTCB2310,SSI,7/10/2024,1840.0,1060.0,1450.0,1430.0,422500.0,1440.0,5200.0,1450.0,5000.0,1460.0,4600.0,10.0,0.69,1460.0,2500.0,1470.0,3500.0,1480.0,6200.0,132000.0,1470.0,1400.0,TCB,22400.0,22.64,0.24,16972.0,3.8793:1,0
51,CTCB2402,SSI,12/12/2024,1170.0,10.0,400.0,380.0,454600.0,390.0,456700.0,400.0,453500.0,400.0,4000.0,0.0,0.0,420.0,308500.0,430.0,492300.0,440.0,457600.0,1819100.0,440.0,380.0,TCB,22400.0,28.3,5.9,27500.0,2:01,0
52,CTPB2306,KIS,3/10/2024,1060.0,10.0,420.0,330.0,5000.0,360.0,8700.0,390.0,188800.0,380.0,79100.0,-40.0,-9.52,400.0,111100.0,,,,,129500.0,410.0,350.0,TPB,17900.0,20.09,2.19,19352.0,1.9461:1,0
53,CTPB2402,HSC,4/12/2024,1560.0,280.0,920.0,820.0,1100.0,830.0,70100.0,840.0,5400.0,840.0,1500.0,-80.0,-8.7,870.0,2000.0,880.0,100000.0,930.0,30000.0,918600.0,910.0,830.0,TPB,17900.0,19.64,1.74,18001.0,1.9461:1,0
54,CVHM2313,SSI,7/10/2024,330.0,10.0,60.0,30.0,2861400.0,40.0,2752400.0,50.0,264400.0,60.0,400.0,0.0,0.0,60.0,1641000.0,70.0,2508700.0,80.0,631300.0,1260500.0,60.0,40.0,VHM,39750.0,50.6,10.85,50000.0,10:01,0
55,CVHM2317,KIS,3/10/2024,410.0,10.0,70.0,10.0,1013300.0,20.0,222200.0,30.0,170000.0,70.0,200.0,0.0,0.0,70.0,165000.0,80.0,55800.0,90.0,10000.0,200.0,70.0,70.0,VHM,39750.0,52.91,13.15,52345.0,8:01,0
56,CVHM2318,KIS,2/1/2025,1140.0,40.0,590.0,60.0,96400.0,70.0,1000.0,210.0,222200.0,,,,,580.0,15000.0,590.0,400.0,,,,,,VHM,39750.0,56.41,16.66,53456.0,5:01,0
57,CVHM2402,HSC,4/3/2025,1900.0,540.0,1220.0,1100.0,10000.0,1110.0,2000.0,1120.0,38000.0,1200.0,38400.0,-20.0,-1.64,1220.0,1400.0,1240.0,35000.0,1250.0,1000.0,280100.0,1220.0,1100.0,VHM,39750.0,46.3,6.55,41500.0,4:01,0
58,CVHM2403,HSC,4/12/2024,1640.0,280.0,960.0,830.0,141400.0,860.0,30100.0,880.0,200.0,960.0,200.0,0.0,0.0,960.0,29900.0,980.0,100.0,990.0,300.0,167200.0,960.0,830.0,VHM,39750.0,44.34,4.59,40500.0,4:01,0
59,CVHM2404,SSI,12/11/2024,1560.0,200.0,880.0,800.0,344800.0,810.0,45700.0,820.0,2400.0,870.0,300.0,-10.0,-1.14,860.0,2600.0,870.0,330900.0,880.0,156000.0,398200.0,870.0,790.0,VHM,39750.0,43.48,3.73,40000.0,4:01,0
60,CVHM2405,SSI,12/12/2024,1220.0,10.0,540.0,490.0,326300.0,500.0,686900.0,510.0,68000.0,550.0,500.0,10.0,1.85,530.0,31100.0,540.0,500.0,550.0,337200.0,321600.0,550.0,490.0,VHM,39750.0,47.2,7.45,45000.0,4:01,0
61,CVIB2305,SSI,7/1/2025,740.0,240.0,490.0,440.0,453700.0,450.0,501300.0,460.0,325300.0,460.0,209300.0,-30.0,-6.12,480.0,70800.0,490.0,622400.0,500.0,512100.0,536900.0,490.0,460.0,VIB,18400.0,19.98,1.58,17752.0,4.8413:1,0
62,CVIB2402,ACBS,19/05/2025,1430.0,10.0,700.0,680.0,10600.0,700.0,119700.0,710.0,220000.0,760.0,400.0,60.0,8.57,760.0,1400.0,770.0,300.0,780.0,5100.0,1397000.0,760.0,700.0,VIB,18400.0,21.81,3.41,20515.0,1.7096:1,0
63,CVIB2403,SSI,10/10/2024,970.0,10.0,240.0,180.0,455500.0,190.0,540200.0,200.0,473500.0,220.0,1300.0,-20.0,-8.33,220.0,26200.0,230.0,46000.0,240.0,455500.0,801100.0,230.0,200.0,VIB,18400.0,20.89,2.49,20515.0,1.7096:1,0
64,CVIB2404,SSI,12/11/2024,1000.0,10.0,270.0,230.0,455100.0,240.0,453800.0,250.0,454700.0,270.0,200.0,0.0,0.0,270.0,20200.0,280.0,455500.0,290.0,453800.0,150900.0,280.0,240.0,VIB,18400.0,21.83,3.43,21370.0,1.7096:1,0
65,CVIC2309,SSI,7/10/2024,380.0,10.0,90.0,60.0,60000.0,70.0,22700.0,80.0,10000.0,90.0,100.0,0.0,0.0,90.0,57500.0,100.0,365400.0,110.0,85000.0,34700.0,90.0,80.0,VIC,41550.0,52.9,11.35,52000.0,10:01,0
66,CVIC2313,KIS,3/10/2024,400.0,10.0,110.0,,,10.0,1500100.0,30.0,200.0,,,,,110.0,42600.0,150.0,6000.0,160.0,12700.0,,,,VIC,41550.0,54.56,13.01,53456.0,10:01,0
67,CVIC2314,KIS,2/1/2025,1010.0,10.0,430.0,390.0,3000.0,400.0,5500.0,410.0,11100.0,410.0,5000.0,-20.0,-4.65,440.0,10500.0,450.0,25400.0,460.0,10000.0,7500.0,450.0,410.0,VIC,41550.0,56.62,15.07,54567.0,5:01,0
68,CVIC2401,HSC,4/12/2024,1540.0,100.0,820.0,120.0,5000.0,680.0,200.0,720.0,31300.0,800.0,600.0,-20.0,-2.44,800.0,29900.0,810.0,400.0,820.0,200.0,188700.0,800.0,730.0,VIC,41550.0,48.7,7.15,45500.0,4:01,0
69,CVIC2402,SSI,12/12/2024,1150.0,10.0,430.0,400.0,232500.0,410.0,15500.0,420.0,300.0,430.0,100.0,0.0,0.0,430.0,233000.0,440.0,149100.0,450.0,15200.0,61500.0,450.0,420.0,VIC,41550.0,51.72,10.17,50000.0,4:01,0
70,CVIC2403,SSI,10/10/2024,1150.0,10.0,430.0,380.0,233500.0,390.0,18100.0,400.0,600.0,400.0,1000.0,-30.0,-6.98,410.0,232000.0,420.0,32900.0,430.0,26500.0,122000.0,440.0,400.0,VIC,41550.0,46.6,5.05,45000.0,4:01,0
71,CVNM2311,SSI,7/1/2025,1100.0,60.0,580.0,580.0,304600.0,590.0,95600.0,600.0,405400.0,610.0,200.0,30.0,5.17,610.0,7800.0,620.0,402500.0,630.0,407500.0,796600.0,640.0,590.0,VNM,74900.0,84.38,9.48,78398.0,9.7998:1,0
72,CVNM2314,KIS,3/10/2024,820.0,10.0,170.0,150.0,1000.0,160.0,100000.0,170.0,401800.0,170.0,1800.0,0.0,0.0,190.0,2000.0,200.0,23800.0,210.0,71000.0,253500.0,210.0,170.0,VNM,74900.0,86.48,11.58,85148.0,7.8398:1,0
73,CVNM2315,KIS,2/1/2025,2350.0,10.0,1050.0,1040.0,31000.0,1050.0,10000.0,1100.0,398600.0,1100.0,300.0,50.0,4.76,1110.0,222200.0,1200.0,10000.0,1220.0,25800.0,508700.0,1140.0,1040.0,VNM,74900.0,91.42,16.52,87108.0,3.9199:1,0
74,CVNM2401,ACBS,19/05/2025,2480.0,1220.0,1850.0,1830.0,3000.0,1840.0,2500.0,1850.0,1200.0,1850.0,13000.0,0.0,0.0,1880.0,50200.0,2000.0,7100.0,2060.0,100.0,209900.0,1950.0,1830.0,VNM,74900.0,80.8,5.9,66000.0,8:01,0
75,CVNM2402,HSC,4/12/2024,1710.0,450.0,1080.0,1060.0,30000.0,1080.0,200.0,1100.0,100.0,1120.0,10000.0,40.0,3.7,1180.0,30000.0,1200.0,5400.0,1300.0,100.0,70200.0,1190.0,1100.0,VNM,74900.0,79.46,4.56,70500.0,8:01,0
76,CVNM2403,SSI,12/11/2024,2570.0,30.0,1300.0,1320.0,103700.0,1340.0,26300.0,1350.0,148000.0,1360.0,300.0,60.0,4.62,1380.0,233000.0,1390.0,233100.0,1410.0,141500.0,40900.0,1450.0,1300.0,VNM,74900.0,80.44,5.54,75000.0,4:01,0
77,CVNM2404,SSI,10/10/2024,2970.0,430.0,1700.0,1750.0,77900.0,1770.0,19200.0,1790.0,112300.0,1820.0,500.0,120.0,7.06,1820.0,233000.0,1840.0,233400.0,1860.0,109100.0,96100.0,1940.0,1730.0,VNM,74900.0,77.28,2.38,70000.0,4:01,0
78,CVPB2315,SSI,7/1/2025,390.0,10.0,160.0,140.0,701400.0,150.0,1124000.0,160.0,452200.0,170.0,2000.0,10.0,6.25,170.0,771900.0,180.0,384700.0,190.0,559800.0,723400.0,170.0,150.0,VPB,18750.0,23.1,4.35,22173.0,5.4302:1,0
79,CVPB2318,KIS,3/10/2024,460.0,10.0,110.0,100.0,114000.0,110.0,100000.0,120.0,188000.0,130.0,74000.0,20.0,18.18,130.0,53100.0,140.0,70000.0,150.0,11700.0,369800.0,130.0,120.0,VPB,18750.0,22.7,3.95,22233.0,3.62:1,0
80,CVPB2319,KIS,2/1/2025,1310.0,10.0,600.0,560.0,191900.0,570.0,20000.0,610.0,212200.0,610.0,10000.0,10.0,1.67,620.0,22200.0,640.0,3000.0,,,366000.0,630.0,560.0,VPB,18750.0,23.84,5.09,22737.0,1.81:1,0
81,CVPB2322,VND,19/09/2024,540.0,10.0,200.0,180.0,1800.0,190.0,4600.0,200.0,10000.0,210.0,2200.0,10.0,5.0,210.0,400.0,220.0,6800.0,230.0,4700.0,459700.0,220.0,180.0,VPB,18750.0,19.79,1.04,18990.0,3.798:1,0
82,CVPB2401,ACBS,19/05/2025,1770.0,410.0,1090.0,1000.0,20000.0,1040.0,3000.0,1050.0,5500.0,1100.0,1200.0,10.0,0.92,1100.0,98800.0,1120.0,10100.0,1130.0,100.0,618600.0,1120.0,1050.0,VPB,18750.0,22.03,3.28,19939.0,1.8990:1,0
83,CVPB2402,HSC,4/12/2024,1470.0,170.0,820.0,640.0,100.0,790.0,43900.0,820.0,54500.0,820.0,500.0,0.0,0.0,870.0,2600.0,880.0,6500.0,890.0,30000.0,286700.0,830.0,800.0,VPB,18750.0,20.64,1.89,19000.0,2:01,0
84,CVPB2403,HSC,4/3/2025,1770.0,470.0,1120.0,1070.0,30000.0,1080.0,900.0,1090.0,1500.0,1150.0,1000.0,30.0,2.68,1160.0,100000.0,1190.0,36200.0,1200.0,13000.0,148500.0,1150.0,1100.0,VPB,18750.0,21.3,2.55,19000.0,2:01,0
85,CVPB2404,SSI,10/10/2024,1090.0,10.0,440.0,410.0,454800.0,420.0,134000.0,440.0,61600.0,460.0,100.0,20.0,4.55,460.0,454100.0,470.0,99600.0,480.0,530700.0,1832600.0,470.0,400.0,VPB,18750.0,20.42,1.67,19500.0,2:01,0
86,CVPB2405,SSI,12/11/2024,1170.0,10.0,520.0,500.0,454500.0,520.0,138900.0,530.0,63900.0,550.0,500.0,30.0,5.77,550.0,453600.0,560.0,101400.0,570.0,454700.0,1321600.0,570.0,510.0,VPB,18750.0,21.1,2.35,20000.0,2:01,0
87,CVPB2406,SSI,12/12/2024,1230.0,10.0,580.0,570.0,454800.0,580.0,144100.0,590.0,26900.0,590.0,39900.0,10.0,1.72,610.0,455200.0,620.0,104500.0,630.0,454700.0,176600.0,630.0,570.0,VPB,18750.0,21.68,2.93,20500.0,2:01,0
88,CVRE2315,SSI,7/10/2024,230.0,10.0,70.0,30.0,38200.0,40.0,181500.0,50.0,57700.0,60.0,12000.0,-10.0,-14.29,60.0,135500.0,70.0,582600.0,80.0,141900.0,200000.0,70.0,50.0,VRE,19500.0,30.48,10.98,30000.0,8:01,0
89,CVRE2319,KIS,3/10/2024,390.0,10.0,60.0,20.0,27400.0,30.0,31400.0,40.0,18000.0,60.0,100.0,0.0,0.0,60.0,66900.0,70.0,46800.0,80.0,77800.0,2300.0,60.0,40.0,VRE,19500.0,32.02,12.52,31777.0,4:01,0
90,CVRE2320,KIS,2/1/2025,880.0,10.0,210.0,150.0,204900.0,160.0,33000.0,170.0,13600.0,220.0,100.0,10.0,4.76,220.0,30700.0,230.0,281000.0,240.0,100700.0,16700.0,220.0,150.0,VRE,19500.0,32.77,13.27,32333.0,2:01,0
91,CVRE2401,HSC,4/12/2024,690.0,30.0,360.0,330.0,5000.0,340.0,1500.0,350.0,1900.0,360.0,2300.0,0.0,0.0,360.0,65000.0,370.0,22300.0,380.0,32200.0,211300.0,380.0,320.0,VRE,19500.0,22.94,3.44,21500.0,4:01,0
92,CVRE2402,HSC,4/3/2025,740.0,80.0,410.0,350.0,16900.0,360.0,32600.0,370.0,4000.0,380.0,2200.0,-30.0,-7.32,380.0,3000.0,390.0,31800.0,400.0,35000.0,395100.0,410.0,350.0,VRE,19500.0,25.02,5.52,23500.0,4:01,0
93,CVRE2403,SSI,12/11/2024,840.0,10.0,170.0,150.0,489100.0,160.0,474500.0,170.0,113600.0,170.0,26500.0,0.0,0.0,180.0,200300.0,190.0,249900.0,200.0,195300.0,2500100.0,200.0,160.0,VRE,19500.0,25.34,5.84,25000.0,2:01,0
94,CVRE2404,SSI,10/10/2024,910.0,10.0,240.0,200.0,455300.0,210.0,453700.0,220.0,304700.0,220.0,155700.0,-20.0,-8.33,230.0,110200.0,240.0,155600.0,250.0,120300.0,541000.0,250.0,210.0,VRE,19500.0,22.94,3.44,22500.0,2:01,0
95,Giá x 1 VNĐ. Khối lượng x 1. Giá trị x 1000000 VNĐ. Bản quyền thuộc về Công ty Cổ phần Chứng khoán SSI © 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
